SampleID,name,depth,coral.species,sampling.reef.name,status,substrate ,temperature,transplant.status,transplanted.from,transplanted.to,transplantation,visibility,visibility.rank,survivorship,keep
SRR12022503,SRR12022503,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022504,SRR12022504,3,Orbicella faveolata,Varadero,Rosario_Varadero,transplant_platform,30,posttransplantation,Rosario,Varadero,Low/Medium,12,medium,alive,yes
SRR12022505,SRR12022505,3,Orbicella faveolata,Varadero,Rosario_Varadero,transplant_platform,30,posttransplantation,Rosario,Varadero,Low/Medium,12,medium,alive,yes
SRR12022506,SRR12022506,3,Orbicella faveolata,Varadero,Rosario_Varadero,transplant_platform,30,posttransplantation,Rosario,Varadero,Low/Medium,12,medium,alive,yes
SRR12022507,SRR12022507,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022508,SRR12022508,3,Orbicella faveolata,Varadero,Rosario_Varadero,transplant_platform,30,posttransplantation,Rosario,Varadero,Low/Medium,12,medium,alive,yes
SRR12022509,SRR12022509,3,Orbicella faveolata,Varadero,Rosario_Varadero,transplant_platform,30,posttransplantation,Rosario,Varadero,Low/Medium,12,medium,alive,yes
SRR12022510,SRR12022510,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,30,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,no
SRR12022511,SRR12022511,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,30,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022512,SRR12022512,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,30,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022513,SRR12022513,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,30,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022514,SRR12022514,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,30,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022515,SRR12022515,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,30,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022516,SRR12022516,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,29,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022517,SRR12022517,3,Orbicella faveolata,Varadero,Varadero_Varadero,transplant_platform,29,posttransplantation,Varadero,Varadero,Medium/Medium,12,medium,alive,yes
SRR12022518,SRR12022518,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
