SampleID,name,depth,coral.species,sampling.reef.name,status,substrate ,temperature,transplant.status,transplanted.from,transplanted.to,transplantation,visibility,visibility.rank,survivorship,keep
SRR12022635,SRR12022635,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022636,SRR12022636,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022637,SRR12022637,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022638,SRR12022638,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022639,SRR12022639,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022640,SRR12022640,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022641,SRR12022641,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022642,SRR12022642,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022643,SRR12022643,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022644,SRR12022644,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022645,SRR12022645,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022646,SRR12022646,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022647,SRR12022647,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022648,SRR12022648,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022649,SRR12022649,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022650,SRR12022650,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022651,SRR12022651,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022652,SRR12022652,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022653,SRR12022653,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022654,SRR12022654,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022655,SRR12022655,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022656,SRR12022656,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022657,SRR12022657,3.3,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022658,SRR12022658,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022669,SRR12022669,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022680,SRR12022680,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022689,SRR12022689,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022691,SRR12022691,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022692,SRR12022692,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022693,SRR12022693,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022694,SRR12022694,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022695,SRR12022695,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022696,SRR12022696,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022697,SRR12022697,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022698,SRR12022698,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022699,SRR12022699,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022700,SRR12022700,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022701,SRR12022701,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022702,SRR12022702,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022703,SRR12022703,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022704,SRR12022704,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022705,SRR12022705,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022706,SRR12022706,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022707,SRR12022707,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022708,SRR12022708,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022709,SRR12022709,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022710,SRR12022710,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022711,SRR12022711,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022712,SRR12022712,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022713,SRR12022713,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
